09:35:34:663->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:663->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-31 11-14-25.png selecionado não possuí criptografia compatível.
09:35:34:663->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-10-18.png selecionado para descriptografia.
09:35:34:761->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:762->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-10-18.png selecionado não possuí criptografia compatível.
09:35:34:762->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-01 11-58-53.png selecionado para descriptografia.
09:35:34:860->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:861->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-01 11-58-53.png selecionado não possuí criptografia compatível.
09:35:34:861->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-31 13-38-48.png selecionado para descriptografia.
09:35:34:963->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:34:963->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-31 13-38-48.png selecionado não possuí criptografia compatível.
09:35:34:964->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 16-57-02.png selecionado para descriptografia.
09:35:35:065->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:065->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 16-57-02.png selecionado não possuí criptografia compatível.
09:35:35:066->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-27-24.png selecionado para descriptografia.
09:35:35:169->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:170->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-27-24.png selecionado não possuí criptografia compatível.
09:35:35:170->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-26-12.png selecionado para descriptografia.
09:35:35:268->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:268->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-26-12.png selecionado não possuí criptografia compatível.
09:35:35:269->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-13-04.png selecionado para descriptografia.
09:35:35:366->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:366->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-07-22 13-13-04.png selecionado não possuí criptografia compatível.
09:35:35:367->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-24 13-06-17.png selecionado para descriptografia.
09:35:35:464->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:35:465->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-24 13-06-17.png selecionado não possuí criptografia compatível.
